Id,SalePrice
1461,120668.96152047694
1462,157255.05427229067
1463,184705.5661006401
1464,194171.21896389406
1465,190935.3431916728
1466,171542.63872388675
1467,175342.69340342953
1468,165420.3666426516
1469,183255.8523856742
1470,126878.30143245688
1471,188092.3905507246
1472,95957.57854710564
1473,96529.6313451997
1474,146027.0294965008
1475,113160.7018937198
1476,372401.1194496948
1477,254817.93714833542
1478,289458.5239063159
1479,291208.47700947203
1480,499678.06506623223
1481,333986.45515926805
1482,210253.23181684263
1483,176496.47369652666
1484,166426.93386743692
1485,181584.98311361286
1486,194286.22309595978
1487,344051.36510934384
1488,234266.37958418785
1489,200075.83767557307
1490,233246.82639610153
1491,192676.399444142
1492,91423.05080973334
1493,179618.07783580924
1494,290356.16307981877
1495,288608.5364435411
1496,234844.3865434101
1497,178725.32866206122
1498,165187.79327121563
1499,161117.92741737005
1500,157570.2834789235
1501,174966.10359363214
1502,144543.03883957013
1503,281612.1133197849
1504,243789.1571149416
1505,227606.66324817983
1506,187689.78847118648
1507,239032.1249994377
1508,194054.23367639357
1509,162810.99571720115
1510,146721.678180112
1511,150061.42137160993
1512,172619.13283516926
1513,138402.6647407992
1514,150399.519343602
1515,189628.52419662278
1516,148383.13093778052
1517,163903.47120227304
1518,130198.18464008185
1519,215349.98583437948
1520,134562.62203801988
1521,135782.02027126242
1522,170735.5032096987
1523,113427.24868317065
1524,126218.53209976511
1525,122767.50551220808
1526,110723.76107737696
1527,106640.28457385872
1528,136069.8071974563
1529,152346.2558049587
1530,180050.16201424142
1531,105604.3076700976
1532,94103.25066306086
1533,145951.8421115186
1534,122829.73562726822
1535,153840.78647689018
1536,107281.06531910658
1537,61417.7368697233
1538,153493.35716862738
1539,194849.63705022057
1540,87494.51496325886
1541,141267.35984283435
1542,140160.8080012729
1543,206496.6717863053
1544,80238.4791573555
1545,106481.6900420959
1546,127558.67053010505
1547,134595.88880110846
1548,133180.53629891746
1549,115801.24329154663
1550,133389.23359616185
1551,107057.18886705508
1552,135409.38715242982
1553,152293.04397394645
1554,117246.52765729249
1555,170753.2271891656
1556,84689.27446416934
1557,104983.8446527624
1558,95446.05864637118
1559,74794.81133664507
1560,126815.51879932014
1561,127016.32208959399
1562,125898.38758636286
1563,120189.43972474663
1564,158243.82538564343
1565,146231.34525149417
1566,242622.47309954735
1567,73243.70763000398
1568,234214.17550551743
1569,136276.4092565203
1570,140518.8645685507
1571,121027.7695850003
1572,145428.0512141636
1573,249001.17978617744
1574,117408.94619347916
1575,231351.55722589348
1576,234617.53024170833
1577,186952.73136649485
1578,139835.41728337412
1579,149306.86761302894
1580,193460.7095701182
1581,153436.92760382086
1582,125477.94047942509
1583,298105.056388418
1584,219005.03226135494
1585,140465.8360094785
1586,67662.6224830671
1587,102590.97197779588
1588,156730.67021002312
1589,93263.55874316182
1590,133697.71308930774
1591,97296.53270534721
1592,116438.85773061965
1593,121310.84794270236
1594,125559.54348106911
1595,108696.0384867407
1596,232144.27911757515
1597,192965.4939744351
1598,216247.36269359104
1599,164367.87641928304
1600,159651.8953916953
1601,62634.644347787325
1602,111841.3135333604
1603,80643.15550838411
1604,270277.9914814844
1605,235820.90146822255
1606,171380.08039316555
1607,167884.87512557773
1608,215009.94964595456
1609,187289.60328312262
1610,160404.98937889648
1611,139551.3786943358
1612,169570.82520158385
1613,163912.64824530846
1614,122758.00600332893
1615,91849.72874773064
1616,78660.91963585479
1617,90455.64755417829
1618,126085.89904163488
1619,142043.24151874063
1620,153865.89592895354
1621,139247.983097868
1622,140016.0978358114
1623,263610.0556872022
1624,210896.84198165542
1625,116398.26028791745
1626,163959.7884156933
1627,190600.3076207689
1628,270213.50586456293
1629,179623.43351281938
1630,357859.06726545206
1631,222935.34569844455
1632,243987.5812954935
1633,170886.75738775302
1634,186702.87552564705
1635,176841.08987793684
1636,150902.42350859958
1637,194198.45576338607
1638,183830.50175566733
1639,178857.86034108154
1640,252923.01483566515
1641,178775.06606991406
1642,239122.3331950334
1643,222951.3677397195
1644,238958.36851721993
1645,199166.9241337444
1646,159562.76578805762
1647,157678.31799610704
1648,131535.17711473792
1649,141156.68650655934
1650,112901.63587841594
1651,122589.65635363154
1652,96646.56617288131
1653,98972.68883213688
1654,144118.07962865525
1655,138386.60392307854
1656,141079.21718757952
1657,146605.3891043949
1658,142144.21489557132
1659,119943.70272464598
1660,153538.59282120122
1661,458563.8211656542
1662,409297.4142286868
1663,387813.10356974375
1664,500734.0852333124
1665,305906.2287278064
1666,335075.272583954
1667,392904.17331303324
1668,340493.24319523515
1669,299048.30655699427
1670,352093.8200155863
1671,273298.84951666795
1672,439696.8054915003
1673,296335.42365029204
1674,247469.7448612335
1675,195982.46949622288
1676,194615.59756115716
1677,226244.08252483804
1678,458026.70072192873
1679,397559.8779526362
1680,344959.0344924841
1681,244275.2142783851
1682,320700.87414610723
1683,184431.51994205167
1684,173386.84201204506
1685,172151.8472585423
1686,167830.4348664414
1687,166926.74584759446
1688,189564.03591583067
1689,195676.86664461126
1690,195836.4340875844
1691,184007.4631574582
1692,257738.7604513265
1693,170242.70515376015
1694,184334.02350961356
1695,163860.26152182103
1696,267487.16719397035
1697,169279.98034803002
1698,357050.1657002176
1699,316708.31268483185
1700,258313.06669034212
1701,271152.3721381541
1702,250239.14459475366
1703,250562.4763588988
1704,282557.633901562
1705,233059.9012406593
1706,446377.43846163293
1707,216103.37601829643
1708,206344.81772107046
1709,263286.1776533362
1710,217382.2563175871
1711,263631.47943403095
1712,262608.8060869942
1713,273777.1772032816
1714,224961.8860481149
1715,208743.3625430226
1716,183964.4237343559
1717,175946.434006937
1718,132901.12368325883
1719,205463.0038958002
1720,236969.82358570234
1721,167298.31523963506
1722,129429.86128148854
1723,157881.30026193487
1724,202580.35453987741
1725,236506.3158714944
1726,184740.46542737895
1727,153501.95786283864
1728,177694.98864238238
1729,167907.81892213988
1730,153116.57254520667
1731,119401.56578885898
1732,128753.85260618092
1733,114710.32530330037
1734,118772.26333234218
1735,127259.27334913427
1736,110758.55416485705
1737,296740.9220803326
1738,246136.34062413775
1739,249065.24377402494
1740,219067.62364646592
1741,190501.80664071377
1742,171079.52953744386
1743,175737.42018455444
1744,312557.5115416576
1745,221872.19247384084
1746,178558.14751993484
